erva;Age;Total;Males;Females
All;Total;5533793;2733808;2799985
All;0 - 4;246992;126209;120783
All;5 - 9;300950;153934;147016
All;10 - 14;312919;160031;152888
All;15 - 19;298232;152522;145710
All;20 - 24;308410;159178;149232
All;25 - 29;352990;181808;171182
All;30 - 34;355067;183434;171633
All;35 - 39;363694;187719;175975
All;40 - 44;348531;178936;169595
All;45 - 49;317890;162358;155532
All;50 - 54;347146;174856;172290
All;55 - 59;367783;183465;184318
All;60 - 64;357251;175134;182117
All;65 - 69;353975;169845;184130
All;70 - 74;354128;165833;188295
All;75 - 79;232426;103742;128684
All;80 - 84;160459;65005;95454
All;85 -;154950;49799;105151
HYKS;Total;2198182;1076465;1121717
HYKS;0 - 4;102217;52422;49795
HYKS;5 - 9;119396;61221;58175
HYKS;10 - 14;122658;62666;59992
HYKS;15 - 19;115655;58791;56864
HYKS;20 - 24;119419;60564;58855
HYKS;25 - 29;153255;76916;76339
HYKS;30 - 34;158461;81018;77443
HYKS;35 - 39;157712;80990;76722
HYKS;40 - 44;150407;77214;73193
HYKS;45 - 49;135581;68962;66619
HYKS;50 - 54;143546;71555;71991
HYKS;55 - 59;145582;71863;73719
HYKS;60 - 64;131660;63461;68199
HYKS;65 - 69;124346;57321;67025
HYKS;70 - 74;127118;57316;69802
HYKS;75 - 79;84971;36678;48293
HYKS;80 - 84;55186;21806;33380
HYKS;85 -;51012;15701;35311
TYKS;Total;869004;429681;439323
TYKS;0 - 4;37433;19149;18284
TYKS;5 - 9;45379;23263;22116
TYKS;10 - 14;47428;24192;23236
TYKS;15 - 19;45573;23572;22001
TYKS;20 - 24;50379;25890;24489
TYKS;25 - 29;53193;27816;25377
TYKS;30 - 34;52119;27156;24963
TYKS;35 - 39;53974;27879;26095
TYKS;40 - 44;53072;27121;25951
TYKS;45 - 49;48907;25013;23894
TYKS;50 - 54;54964;27745;27219
TYKS;55 - 59;56910;28452;28458
TYKS;60 - 64;55496;27201;28295
TYKS;65 - 69;57887;27883;30004
TYKS;70 - 74;59855;28296;31559
TYKS;75 - 79;40062;18185;21877
TYKS;80 - 84;28053;11525;16528
TYKS;85 -;28320;9343;18977
TAYS;Total;902681;446425;456256
TAYS;0 - 4;38956;19933;19023
TAYS;5 - 9;49115;25234;23881
TAYS;10 - 14;51478;26324;25154
TAYS;15 - 19;49386;25142;24244
TAYS;20 - 24;50557;26535;24022
TAYS;25 - 29;54718;28548;26170
TAYS;30 - 34;54828;28238;26590
TAYS;35 - 39;57981;29881;28100
TAYS;40 - 44;55690;28479;27211
TAYS;45 - 49;51261;26205;25056
TAYS;50 - 54;56122;28486;27636
TAYS;55 - 59;59035;29585;29450
TAYS;60 - 64;58588;28861;29727
TAYS;65 - 69;59308;28556;30752
TAYS;70 - 74;60735;28619;32116
TAYS;75 - 79;39310;17656;21654
TAYS;80 - 84;27892;11321;16571
TAYS;85 -;27721;8822;18899
KYS;Total;797234;395556;401678
KYS;0 - 4;31518;16057;15461
KYS;5 - 9;40392;20403;19989
KYS;10 - 14;42219;21681;20538
KYS;15 - 19;41994;21452;20542
KYS;20 - 24;45808;23449;22359
KYS;25 - 29;46658;24751;21907
KYS;30 - 34;44780;23608;21172
KYS;35 - 39;46610;24177;22433
KYS;40 - 44;44076;22630;21446
KYS;45 - 49;41226;21006;20220
KYS;50 - 54;47672;24056;23616
KYS;55 - 59;55715;28003;27712
KYS;60 - 64;59449;29647;29802
KYS;65 - 69;60274;30052;30222
KYS;70 - 74;58102;28034;30068
KYS;75 - 79;37489;17009;20480
KYS;80 - 84;27085;11050;16035
KYS;85 -;26167;8491;17676
OYS;Total;736563;370692;365871
OYS;0 - 4;35376;17889;17487
OYS;5 - 9;44932;22928;22004
OYS;10 - 14;47390;24270;23120
OYS;15 - 19;44081;22765;21316
OYS;20 - 24;40983;22016;18967
OYS;25 - 29;43528;22943;20585
OYS;30 - 34;42966;22426;20540
OYS;35 - 39;45482;23820;21662
OYS;40 - 44;43395;22548;20847
OYS;45 - 49;38953;20161;18792
OYS;50 - 54;42745;21987;20758
OYS;55 - 59;48480;24546;23934
OYS;60 - 64;50138;25073;25065
OYS;65 - 69;50184;25089;25095
OYS;70 - 74;46440;22656;23784
OYS;75 - 79;29229;13520;15709
OYS;80 - 84;21388;8929;12459
OYS;85 -;20873;7126;13747
Åland;Total;30129;14989;15140
Åland;0 - 4;1492;759;733
Åland;5 - 9;1736;885;851
Åland;10 - 14;1746;898;848
Åland;15 - 19;1543;800;743
Åland;20 - 24;1264;724;540
Åland;25 - 29;1638;834;804
Åland;30 - 34;1913;988;925
Åland;35 - 39;1935;972;963
Åland;40 - 44;1891;944;947
Åland;45 - 49;1962;1011;951
Åland;50 - 54;2097;1027;1070
Åland;55 - 59;2061;1016;1045
Åland;60 - 64;1920;891;1029
Åland;65 - 69;1976;944;1032
Åland;70 - 74;1878;912;966
Åland;75 - 79;1365;694;671
Åland;80 - 84;855;374;481
Åland;85 -;857;316;541
